time,dy,piobs,robs,shadow,cpi_core,Def
1999.2Q,0.452589903,-0.037715331,0.0075,-0.0399,-0.008047642,-0.269786791
1999.3Q,-0.135376949,-0.119327887,0.0075,-0.050825,0,-0.350636884
1999.4Q,0.525660008,0.024034393,0.005833333,-0.052191675,-0.032175037,-0.428131238
2000.1Q,1.71465386,-0.026481572,0.005833333,-0.023675,-0.040446539,-0.325889158
2000.2Q,0.297740179,-0.104469111,0.005,-0.058058325,-0.064474568,-0.387251479
2000.3Q,-0.208073463,-0.155526468,0.035833333,0.026475,-0.056551971,-0.260295773
2000.4Q,0.722533519,-0.398987265,0.061666667,0.077425,-0.177706726,-0.274225784
2001.1Q,0.878082085,-0.172068966,0.050833333,0.036339175,-0.227717905,-0.211765972
2001.2Q,-0.132235605,-0.169634885,0.005,-0.069995825,-0.22697951,-0.277011144
2001.3Q,-1.062303309,-0.160178392,0.002083333,-0.113975,-0.235659148,-0.359373701
2001.4Q,-0.192819389,-0.291336947,0.000583333,-0.1469,-0.21983532,-0.370377145
2002.1Q,0.20269147,-0.148021691,0.000333333,-0.154391675,-0.188618248,-0.380959753
2002.2Q,1.146619372,-0.238268307,0.00025,-0.254458325,-0.220842267,-0.397762251
2002.3Q,0.718017588,-0.225856904,0.00075,-0.379783325,-0.213185943,-0.389112914
2002.4Q,0.457747777,-0.19210887,0.0005,-0.495047,-0.197045355,-0.399632393
2003.1Q,-0.209410703,-0.055130867,0.000416667,-0.540080825,-0.173468398,-0.656333271
2003.2Q,1.173418898,0.075392305,0.00025,-0.527784175,-0.098781821,-0.308499406
2003.3Q,0.441048617,0.015943194,0.000416667,-0.2741425,-0.032959794,-0.34551389
2003.4Q,1.043226865,-0.032837124,0.00025,-0.209091675,0,-0.430220942
2004.1Q,1.171974312,-0.120031041,0.000166667,-0.239758325,-0.016583749,-0.372215312
2004.2Q,0.077475456,-0.058218741,0.000166667,-0.197683325,-0.049537665,-0.457844121
2004.3Q,0.303863345,0.056458208,0.000166667,-0.191041675,-0.033003305,-0.375570408
2004.4Q,-0.210476221,-0.047311605,0.00025,-0.241241675,-0.041247328,-0.145068105
2005.1Q,0.467403989,-0.012750211,0.000333333,-0.279175,-0.016594757,-0.276523684
2005.2Q,1.475126089,-0.017445622,0.00025,-0.343021675,-0.008265829,-0.268951249
2005.3Q,0.45955592,-0.153836511,0.00025,-0.286491675,-0.049586793,-0.330121607
2005.4Q,0.31091329,0.056368463,0.00025,-0.155641675,-0.033046931,-0.391014814
2006.1Q,0.67755788,0.122899792,0.000333333,-0.09635,0,-0.356421516
2006.2Q,0.593821133,0.01481549,0.004833333,0.014591675,0.008265829,-0.346540202
2006.3Q,0.078139495,0.020465007,0.0555,0.064708325,0.057841705,-0.256939569
2006.4Q,1.397171742,-0.003882861,0.063833333,0.102435825,0.033046931,-0.173011071
2007.1Q,1.39334421,-0.173248328,0.094416667,0.094855825,-0.033222596,-0.205974389
2007.2Q,0.331166532,0.056124797,0.1285,0.098684175,-0.024805691,-0.175088259
2007.3Q,-0.256380138,0.005186537,0.1245,0.109169175,-0.024772917,-0.181441958
2007.4Q,0.97545735,0.544650597,0.12525,0.11200975,0.107101828,-0.349656049
2008.1Q,0.843608901,0.370377379,0.126416667,0.10288175,0.248099952,-0.3383706
2008.2Q,-0.92711365,0.425134881,0.126666667,0.093872925,0.353217638,-0.455939689
2008.3Q,-0.914234549,0.957691191,0.125166667,0.121403675,0.579807141,-0.49922836
2008.4Q,-3.124681929,-0.749506495,0.08325,0.104548925,0.253560165,0
2009.1Q,-3.858510693,-0.692492117,0.027583333,0.067934775,-0.008230453,0.05235604
2009.2Q,1.96365463,-0.442096323,0.025833333,0.021061675,-0.237667746,0.051072541
2009.3Q,0.196099138,-0.42510085,0.025833333,-0.0203975,-0.588070238,0.026525201
