time,Y*-Y*(-4),pi (= p-p(-1)),call rate,shadow rate
2010:01:00,1.068047756,0.077037415,0.0245,-0.3825
2010:02:00,1.17608875,-0.556399579,0.02325,-0.366666667
2010:03:00,1.751844726,-0.433842992,0.0233325,-0.403333333
2010:04:00,-0.856945119,0.116287581,0.0224175,-0.5075
2011:01:00,-1.120218706,0.029735156,0.0219175,-0.306666667
2011:02:00,-0.878579661,0.070124983,0.0166675,-0.405
2011:03:00,2.506471133,-0.01211513,0.0195,-0.47
2011:04:00,-0.175003446,-0.175200731,0.0196675,-0.483333333
2012:01:00,1.371936816,0.228234085,0.02075,-0.563333333
2012:02:00,-0.856041677,-0.152540327,0.0195825,-0.604166667
2012:03:00,-0.410547482,-0.23018996,0.02125,-0.735
2012:04:00,-0.043318277,0.058732585,0.0210825,-0.8725
2013:01:00,1.409191429,0.036190595,0.0206675,-1.005833333
2013:02:00,0.886424765,0.128002808,0.01825,-0.801666667
2013:03:00,0.948284174,0.486272363,0.0181675,-0.576666667
2013:04:00,-0.122749267,0.372001683,0.0180825,-0.716666667
2014:01:00,0.830874709,0.270213641,0.0185,-0.79
2014:02:00,-1.84505457,0.180291294,0.0166675,-0.891666667
2014:03:00,0.075689433,0.371580683,0.01675,-1.108333333
2014:04:00,0.489077051,-0.05522098,0.016,-1.188333333
2015:01:00,1.536116293,-0.223737239,0.0183325,-1.118333333
2015:02:00,0.079859246,0.116492822,0.0168325,-0.9475
2015:03:00,0.123434528,-8.95E-03,0.0185825,-0.825833333
2015:04:00,-0.102246886,-0.012158808,0.0190825,-0.97
2016:01:00,0.691805411,-0.219331865,0.0086675,-1.116666667
2016:02:00,-0.211530363,-0.144666068,-0.0125825,-1.1625
2016:03:00,0.217066563,-0.074354212,-0.0115,-1.1625
2016:04:00,0.290178606,0.103271131,-0.0108325,-1.208333333
2017:01:00,0.728908491,0.275747797,-0.0104175,-1.519166667
2017:02:00,0.295773409,0.114583516,-0.0135825,-1.676666667
2017:03:00,0.776461528,0.165940203,-0.0134175,-1.895833333
2017:04:00,0.429021553,0.310835508,-0.0105825,-2.1125
2018:01:00,-7.92E-03,0.15862746,-0.012,-2.141666667
2018:02:00,0.051780281,0.18270485,-0.01625,-2.139166667
2018:03:00,-0.601477815,0.291627401,-0.0156675,-2.1275
2018:04:00,0.461684212,0.132890415,-0.0165,-1.936666667
2019:01:00,0.584767611,0.149151697,-0.0135825,-1.9975
2019:02:00,0.122650418,0.135110604,-0.0150825,-2.103333333
2019:03:00,0.188103771,0.104897648,-0.0146675,-1.976666667
