year,dy_obs,pi_obs,r_obs,shadow rate
114.25,1.107341645,0.55703974,0.0225,-0.463333333
114.5,0.976232111,0.428980409,0.0225,-0.285
114.75,0.324217674,0.159554052,0.025,-0.205833333
115,0.688133533,-0.088396097,0.0275,-0.073333333
115.25,0.417135577,0.541637833,0.03,-0.084166667
115.5,0.103399261,0.315002981,0.035,-0.09
115.75,-0.099603523,0.010483029,0.04,-0.059166667
116,0.289753871,-0.068636145,0.09,0.005833333
116.25,0.034134906,0.690880219,0.0925,0.035833333
116.5,0.26305778,0.338467389,0.1,0.0625
116.75,0.344825395,0.488657825,0.1125,0.115833333
117,0.348875883,0.506842507,0.175,0.1725
117.25,0.213074972,0.307907871,0.2375,0.241666667
117.5,0.516244012,0.49439723,0.2875,0.270833333
117.75,0.744483854,0.670765207,0.3,0.333333333
118,0.713484441,0.586684264,0.3625,0.415833333
118.25,0.456893281,0.85592534,0.435,0.493333333
118.5,0.31792481,0.39675762,0.48,0.555
118.75,0.124357523,0.47440045,0.555,0.599166667
119,0.520806524,0.255207629,0.6,0.585
119.25,0.171115998,0.641426393,0.6,0.535833333
119.5,0.437247371,0.347173116,0.5475,0.426666667
